Date,Close
2019-07-01,0.259774
2019-07-02,0.260444
2019-07-03,0.260152
2019-07-04,0.261438
2019-07-05,0.263103
2019-07-08,0.261842
2019-07-09,0.263220
2019-07-10,0.263227
2019-07-11,0.266645
2019-07-12,0.266326
2019-07-15,0.267781
2019-07-16,0.266404
2019-07-17,0.265449
2019-07-18,0.265830
2019-07-19,0.269005
2019-07-22,0.266959
2019-07-23,0.267394
2019-07-24,0.265083
2019-07-25,0.265161
2019-07-26,0.264887
2019-07-29,0.265006
2019-07-30,0.264543
2019-07-31,0.263901
2019-08-01,0.262350
2019-08-02,0.260600
2019-08-05,0.257473
2019-08-06,0.251693
2019-08-07,0.252608
2019-08-08,0.252054
2019-08-09,0.255258
2019-08-12,0.253794
2019-08-13,0.251010
2019-08-14,0.252372
2019-08-15,0.246895
2019-08-16,0.250620
2019-08-19,0.249713
2019-08-20,0.245507
2019-08-21,0.246810
2019-08-22,0.248509
2019-08-23,0.245821
2019-08-26,0.242354
2019-08-27,0.240877
2019-08-28,0.242554
2019-08-29,0.239941
2019-08-30,0.239917
2019-09-02,0.241319
2019-09-03,0.238983
2019-09-04,0.240090
2019-09-05,0.244308
2019-09-06,0.243546
2019-09-09,0.246227
2019-09-10,0.244296
2019-09-11,0.245128
2019-09-12,0.246051
2019-09-13,0.246372
2019-09-16,0.244768
2019-09-17,0.245140
2019-09-18,0.245339
2019-09-19,0.243469
2019-09-20,0.240004
2019-09-23,0.241063
2019-09-24,0.240298
2019-09-25,0.240286
2019-09-26,0.241132
2019-09-27,0.239854
2019-09-30,0.240552
2019-10-01,0.240685
2019-10-02,0.240697
2019-10-03,0.242460
2019-10-04,0.244924
2019-10-07,0.246633
2019-10-08,0.243599
2019-10-09,0.244445
2019-10-10,0.243410
2019-10-11,0.243404
2019-10-14,0.243398
2019-10-15,0.242501
2019-10-16,0.239315
2019-10-17,0.241045
2019-10-18,0.240321
2019-10-21,0.243244
2019-10-22,0.242438
2019-10-23,0.245194
2019-10-24,0.247948
2019-10-25,0.247568
2019-10-28,0.249819
2019-10-29,0.250702
2019-10-30,0.250206
2019-10-31,0.250865
2019-11-01,0.249004
2019-11-04,0.250664
2019-11-05,0.249327
2019-11-06,0.250501
2019-11-07,0.244960
2019-11-08,0.243932
2019-11-11,0.241932
2019-11-12,0.240888
2019-11-13,0.239929
2019-11-14,0.239889
2019-11-15,0.238419
2019-11-18,0.238390
2019-11-19,0.237169
2019-11-20,0.238567
2019-11-21,0.238379
2019-11-22,0.238567
2019-11-25,0.238379
2019-11-26,0.236664
2019-11-27,0.236306
2019-11-28,0.234593
2019-11-29,0.238777
2019-12-02,0.236066
2019-12-03,0.236838
2019-12-04,0.237869
2019-12-05,0.237750
2019-12-06,0.238971
2019-12-09,0.242783
2019-12-10,0.241482
2019-12-11,0.241278
2019-12-12,0.242501
2019-12-13,0.244663
2019-12-16,0.244750
2019-12-17,0.246190
2019-12-18,0.245688
2019-12-19,0.246326
2019-12-20,0.245773
2019-12-23,0.245104
2019-12-24,0.244978
2019-12-25,0.244930
2019-12-26,0.244918
2019-12-27,0.246627
2019-12-30,0.248614
2019-12-31,0.249022
2020-01-01,0.248955
2020-01-02,0.248985
2020-01-03,0.248546
2020-01-06,0.246488
2020-01-07,0.246281
2020-01-08,0.245930
2020-01-09,0.246136
2020-01-10,0.244373
2020-01-13,0.245670
2020-01-14,0.241208
2020-01-15,0.242055
2020-01-16,0.239567
2020-01-17,0.239029
2020-01-20,0.240292
2020-01-21,0.238749
2020-01-22,0.237479
2020-01-23,0.239160
2020-01-24,0.239860
2020-01-27,0.240414
2020-01-28,0.237750
2020-01-29,0.238470
2020-01-30,0.236468
2020-01-31,0.235727
2020-02-03,0.233503
2020-02-04,0.235471
2020-02-05,0.235089
2020-02-06,0.236206
2020-02-07,0.233601
2020-02-10,0.231460
2020-02-11,0.231430
2020-02-12,0.231079
2020-02-13,0.229648
2020-02-14,0.230056
2020-02-17,0.232721
2020-02-18,0.231134
2020-02-19,0.229632
2020-02-20,0.229148
2020-02-21,0.227671
2020-02-24,0.227801
2020-02-25,0.227967
2020-02-26,0.227957
2020-02-27,0.224765
2020-02-28,0.222975
2020-03-02,0.225159
2020-03-03,0.223594
2020-03-04,0.221572
2020-03-05,0.218179
2020-03-06,0.217099
2020-03-09,0.217874
2020-03-10,0.211734
2020-03-11,0.215420
2020-03-12,0.207736
2020-03-13,0.208760
2020-03-16,0.206075
2020-03-17,0.200040
2020-03-18,0.199613
2020-03-19,0.195926
2020-03-20,0.196302
2020-03-23,0.198196
2020-03-24,0.194488
2020-03-25,0.196151
2020-03-26,0.198661
2020-03-27,0.199100
2020-03-30,0.195901
2020-03-31,0.192578
2020-04-01,0.192178
2020-04-02,0.190542
2020-04-03,0.190284
2020-04-06,0.186968
2020-04-07,0.189204
2020-04-08,0.191509
2020-04-09,0.195179
2020-04-10,0.195856
2020-04-13,0.195867
2020-04-14,0.192363
2020-04-15,0.193723
2020-04-16,0.190949
2020-04-17,0.191172
2020-04-20,0.191106
2020-04-21,0.188133
2020-04-22,0.188147
2020-04-23,0.183254
2020-04-24,0.180731
2020-04-27,0.179449
2020-04-28,0.176910
2020-04-29,0.181904
2020-04-30,0.187448
2020-05-01,0.182282
2020-05-04,0.182582
2020-05-05,0.180486
2020-05-06,0.179273
2020-05-07,0.174972
2020-05-08,0.171564
2020-05-11,0.182582
2020-05-12,0.171907
2020-05-13,0.169929
2020-05-14,0.169883
2020-05-15,0.172135
2020-05-18,0.170788
2020-05-19,0.174856
2020-05-20,0.173756
2020-05-21,0.175731
2020-05-22,0.180102
2020-05-25,0.180874
2020-05-26,0.183709
2020-05-27,0.187126
2020-05-28,0.189656
2020-05-29,0.185062
2020-06-01,0.187448
2020-06-02,0.186341
2020-06-03,0.192334
2020-06-04,0.197566
2020-06-05,0.195419
2020-06-08,0.201633
2020-06-09,0.207400
2020-06-10,0.204148
2020-06-11,0.201118
2020-06-12,0.201005
2020-06-15,0.198106
2020-06-16,0.194054
2020-06-17,0.190709
2020-06-18,0.191281
2020-06-19,0.185970
2020-06-22,0.188324
2020-06-23,0.190407
2020-06-24,0.194137
2020-06-25,0.187035
2020-06-26,0.186585
2020-06-29,0.182452
2020-06-30,0.185113
2020-07-01,0.183093
2020-07-02,0.188104
2020-07-03,0.186605
2020-07-06,0.188274
2020-07-07,0.186766
2020-07-08,0.185950
2020-07-09,0.187175
2020-07-10,0.187343
2020-07-13,0.187726
2020-07-14,0.185134
2020-07-15,0.186331
2020-07-16,0.186326
2020-07-17,0.187593
2020-07-20,0.185691
2020-07-21,0.187698
2020-07-22,0.193431
2020-07-23,0.195385
2020-07-24,0.191916
2020-07-27,0.191237
2020-07-28,0.194499
2020-07-29,0.194088
2020-07-30,0.193469
2020-07-31,0.194028
2020-08-03,0.191527
2020-08-04,0.188016
2020-08-05,0.189029
2020-08-06,0.189004
2020-08-07,0.187572
2020-08-10,0.183918
2020-08-11,0.182465
2020-08-12,0.185860
2020-08-13,0.183993
2020-08-14,0.186324
2020-08-17,0.184475
2020-08-18,0.181544
2020-08-19,0.182969
2020-08-20,0.179973
2020-08-21,0.179989
2020-08-24,0.178444
